1,0,5,1347854400
2,6,5,1378353600
3,1,2,1342584000
0,2,3,1376539200
3,7,2,1368676800
2,4,3,1411790400
4,3,1,1381809600
4,1,4,1384491600
3,4,9,1389934800
4,8,4,1394168400
0,1,7,1407470400
0,9,5,1346126400
3,2,4,1416373200
4,0,8,1388984400
1,2,8,1337572800
0,3,9,1369713600
1,3,4,1394683200
5,0,3,1364961600
4,2,6,1380945600
2,1,7,1365652800
4,4,3,1393497600
0,4,2,1350014400
8,3,1,1360386000
6,1,6,1350100800
1,4,6,1384578000
3,0,6,1413345600
2,3,5,1351742400
1,5,7,1374033600
7,2,8,1370836800
0,2,1,1414728000
4,1,6,1373923200
0,3,2,1399420800
2,0,1,1414728000
1,0,5,1347854400
3,1,2,1342584000
4,0,8,1388984400
2,4,3,1411790400
4,3,1,1381809600
3,4,9,1389934800
4,8,4,1394168400
0,1,7,1407470400
2,6,5,1378353600
3,7,2,1368676800
1,2,8,1337572800
0,3,9,1369713600
5,0,3,1364961600
4,2,6,1380945600
2,1,7,1365652800
4,4,3,1393497600
0,4,2,1350014400
8,3,1,1360386000
1,4,6,1384578000
3,0,6,1413345600
1,5,7,1374033600
0,2,3,1376539200
4,1,4,1384491600
2,3,5,1351742400
7,2,8,1370836800
0,9,5,1346126400
0,1,7,1407470400
0,2,3,1376539200
0,3,9,1369713600
0,4,2,1350014400
1,0,5,1347854400
1,2,8,1337572800
1,3,4,1394683200
1,4,6,1384578000
2,0,1,1414728000
2,1,7,1365652800
2,3,5,1351742400
2,4,3,1411790400
3,0,6,1413345600
3,1,2,1342584000
3,2,4,1416373200
3,4,9,1389934800
4,0,8,1388984400
4,1,4,1384491600
4,2,6,1380945600
4,3,1,1381809600
1,5,7,1416806400
2,6,5,1400236800
3,7,2,1352592000
4,8,4,1399488000
5,0,3,1385923200
6,1,6,1360416000
7,2,8,1339440000
8,3,1,1418198400
0,9,5,1373980800
1,10,2,1419244800
2,11,9,1354320000
3,12,4,1335312000
4,13,6,1408502400
5,14,3,1356979200
6,15,8,1368768000
7,16,1,1372224000
8,17,7,1345219200
9,0,4,1401840000
5,9,4,1638230400
7,11,6,1654041600
8,14,2,1666761600
12,6,8,1675459200
9,13,3,1680096000
11,15,5,1695401600
17,4,7,1706300800
13,16,9,1717929600
16,10,1,1725964800
10,18,4,1735040000
18,5,2,1744675200
14,19,6,1751417600
19,12,3,1760764800
6,17,8,1777152000
15,8,2,1785388800
9,20,5,1796896000
20,7,7,1805472000
11,21,4,1814678400
21,14,6,1822540800
13,22,1,1831689600
22,16,3,1840576000
16,23,9,1850553600
23,10,4,1860230400
10,24,6,1871251200
24,18,8,1881196800
18,25,2,1890345600
25,19,5,1900550400
19,26,7,1910371200
